# type|id|name|aliases|scope
# Public, low-risk base nodes
person|garp-pua|Gープ|garp_pua|real
person|shouri-ikb|こあ太郎@🦉の天才|shouri_ikb|real
person|riku-pua|むった@りお講習|riku_pua|real
person|konamon-nampa|こなモン@△▽監督|konamon_nampa|real
person|paxnpa123|フェイラー|paxnpa123|real
person|rojupua|ろじゅ|rojupua|real
person|tonpamiso|トンパ氏|tonpamiso|real
person|yuu5-pua|蛭魔|yuu5_pua|real
person|enukun-pua|えぬ|enukun_pua|real
person|fake-nagase|面長瀬智也👺@雄華軍団,SC一門|fake_nagase|real
person|kaji-kaji-3|梶|kaji_kaji_3|real
person|endou-dark|円堂くん｜革命家👑|endou_dark|real
person|gintoki-street|ゴラッソ田村麻呂◎ストナン長期募集中🤖|gintoki_street|real
person|jim-nanpa|ジム＠Claude/味噌/ピカ講習|jim_nanpa|real
person|kahlo-pua|カーロ|kahlo_pua|real
person|karearitaberu|Bee@明太子ナンパ|karearitaberu|real
person|magic-kaito7|🎩まじっく快斗⭕️味噌の天才|magic_kaito7|real
person|mikky-motecoach|みっきー|mikky_motecoach|real
person|mky-match|みっきー@サブ|mky_match|real
person|nakame-pua|中谷｜ハイスぺの食いつき上げ|nakame_pua|real
person|nbmmind|レナトゥス@関係構築|nbmmind|real
person|onaken-pua|オナケン@界隈No.1王道彼氏|onaken_pua|real
person|rice-bread-1|ライス|rice_bread_1|real
person|ranbousto2|R|ranbousto2|real
person|sshi-pua|𝐒氏|sshi_pua|real
person|tinder-ban|てぃぺた@タップル即日アポ攻略•with1位|tinder_ban|real
person|bantan-pua|バンタン@外見コンサルReMake®︎|bantan_pua|real
person|futaro-pua|風太郎@あだちファミリー|futaro_pua|real
person|riokun-pua|りおくん|riokun_pua|real
person|riokun-pua-sub|🥟|riokun_pua_sub|real
person|srs-pua-main|怒りのシラス💢@ピカ講習@淘汰男FC|srs_pua_|real
person|srs-pua-sub|シラス(サブ)/@ピカ講習|srs_pua|real
person|mabonasu-pua|マーボ茄子|mabonasu_pua|real
person|reiy-brushup|Reiya|reiy_brushup|real
person|yayaya-zyakudan|ややや@ポチャマ留年講習|yayaya_zyakudan|real
person|harper-0512|ハーパー|harper0512|real
person|11goacemenc|プリンス修夜|11goacemenc|real
person|4meakg|アキラ＠東京ストナン会|4meakg|real
person|kimu-himitsu2|ナンパ版デスドル|kimu__himitsu2|real
person|okashinaataoka|るいるい|okashinaataoka|real
person|kurita-pua|栗田|kurita_pua|real
person|sub-kurita|本膣情報@一般弱者男性|sub_kurita|real
person|bird-pua|鳥太郎PUA@アンチAI|bird_pua|real
person|pg-yoasobi|PEGA|pg_yoasobi|real
person|youkun-pua|ようくん@りお講習|youkun_pua|real
person|nampa-poke|ゆうき|nampa_poke|real
person|pua-poke|さぶゆうき|pua_poke|real
person|tyopa-pua|ちょぱ😇@火の国/アル中一門|tyopa_pua|real
person|tyopa-sub|ちょぱ2号|tyopa_sub|real
person|roa-pua|ろあ|roa_pua|real
person|chikyukun-pua|地球くん|chikyukun_pua|real
person|pua-vinsmoke|サンジ@遊び人|pua_vinsmoke|real
person|omamco-pua2|える|omamco_pua2|real
person|matagi-pua|故マタギ@東北田舎ちん棒|matagi_pua|real
